customerID,ActualChurn,ChurnLabel,PredictedProb,RiskSegment,tenure_group,tenure,MonthlyCharges,TotalCharges,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,InternetService_DSL,InternetService_Fiber optic,InternetService_No,gender_Female,gender_Male,SeniorCitizen,Partner,Dependents
7590-VHVEG,0,No,0.0020921773,Low,0-12,1,29.85,29.85,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0
5575-GNVDE,0,No,0.80073047,Critical,24-48,34,56.95,1889.5,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0
3668-QPYBK,0,No,0.024119651,Low,0-12,2,53.85,108.15,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0
7795-CFOCW,1,Yes,0.046233106,Low,24-48,45,42.3,1840.75,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0
9237-HQITU,0,No,0.16078329,Low,0-12,2,70.7,151.65,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0
9305-CDSKC,1,Yes,0.36522534,Medium,0-12,8,99.65,820.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0
1452-KIOVK,0,No,0.03957154,Low,12-24,22,89.1,1949.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,1
6713-OKOMC,0,No,0.09353417,Low,0-12,10,29.75,301.9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,0
7892-POOKP,1,Yes,0.6371634,High,24-48,28,104.8,3046.05,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0
6388-TABGU,0,No,0.0041304263,Low,48-72,62,56.15,3487.95,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,1
9763-GRSKD,0,No,0.6095877,High,12-24,13,49.95,587.45,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,1
7469-LKBCI,0,No,0.044642624,Low,12-24,16,18.95,326.8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0
8091-TTVAX,0,No,0.73656464,High,48-72,58,100.35,5681.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0
0280-XJGEX,0,No,0.04373548,Low,48-72,49,103.7,5036.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
5129-JLPIS,1,Yes,0.06745943,Low,24-48,25,105.5,2686.05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0
3655-SNQYZ,1,Yes,0.90265715,Critical,48-72,69,113.25,7895.15,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,1
8191-XWSZG,1,Yes,0.5907187,High,48-72,52,20.65,1022.95,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,0,0
9959-WOFKT,1,Yes,0.66367394,High,48-72,71,106.7,7382.25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0,1
4190-MFLUW,0,No,0.032519642,Low,0-12,10,55.2,528.35,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1,1
4183-MYFRB,0,No,0.0012741558,Low,12-24,21,90.05,1862.9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0
8779-QRDMV,0,No,0.0048657293,Low,0-12,1,39.65,39.65,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,0
1680-VDCWW,0,No,0.26039398,Medium,0-12,12,19.8,202.25,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0,1,0
1066-JKSGK,0,No,0.39841232,Medium,0-12,1,20.15,20.15,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0
3638-WEABW,1,Yes,0.17881815,Low,48-72,58,59.9,3505.1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,1,0
6322-HRPFA,0,No,0.097865,Low,48-72,49,59.6,2970.3,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,1
6865-JZNKO,1,Yes,0.4295555,Medium,24-48,30,55.3,1530.6,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0
